country,happiness_score,economy_gdp_per_capita,family,health_life_expectancy,freedom,generosity1,trust_government_corruption,year
Bhutan,5.01100015640259,0.885416388511658,1.3401265144348102,0.495879292488098,0.5015376806259161,0.474054545164108,0.17338038980960802,2017
Bhutan,5.082,0.7959999999999999,1.335,0.527,0.541,0.364,0.171,2018
Bhutan,5.082,0.813,1.321,0.604,0.457,0.37,0.16699999999999998,2019
Bolivia,5.89,0.68133,0.97841,0.5392,0.57414,0.20536,0.08800000000000001,2015
Bolivia,5.822,0.79422,0.8377899999999999,0.4697,0.50961,0.21698,0.07746,2016
Bolivia,5.82299995422363,0.833756566047668,1.2276190519332901,0.47363024950027505,0.5587329268455511,0.22556072473526,0.0604777261614799,2017
Bolivia,5.752000000000001,0.7509999999999999,1.2229999999999999,0.508,0.606,0.141,0.054000000000000006,2018
Bolivia,5.779,0.7759999999999999,1.209,0.706,0.511,0.13699999999999998,0.064,2019
Bolivia,5.747499942999999,0.7309763429999999,0.803108692,0.6624456639999999,0.5744645,0.13837507400000001,0.072942637,2020
Bosnia and Herzegovina,4.949,0.8322299999999999,0.9191600000000001,0.79081,0.09245,0.24808000000000002,0.00227,2015
Bosnia and Herzegovina,5.162999999999999,0.9338299999999999,0.64367,0.7076600000000001,0.09511,0.29889,0.0,2016
Bosnia and Herzegovina,5.18200016021729,0.982409417629242,1.0693359375,0.705186307430267,0.204403176903725,0.328867495059967,0.0,2017
Bosnia and Herzegovina,5.129,0.915,1.078,0.758,0.28,0.21600000000000003,0.0,2018
Bosnia and Herzegovina,5.386,0.945,1.212,0.845,0.212,0.263,0.006,2019
Bosnia and Herzegovina,5.674099922000001,0.91839546,0.829204142,0.813928187,0.305365741,0.264005244,0.001172487,2020
Botswana,4.332,0.99355,1.10464,0.047760000000000004,0.49495,0.10461,0.12474,2015
Botswana,3.9739999999999998,1.09426,0.89186,0.34752,0.44088999999999995,0.12425,0.10769000000000001,2016
Botswana,3.7660000324249303,1.12209415435791,1.2215549945831299,0.34175550937652605,0.505196332931519,0.0993484482169151,0.0985831990838051,2017
Botswana,3.59,1.0170000000000001,1.1740000000000002,0.41700000000000004,0.557,0.042,0.092,2018
Botswana,3.488,1.041,1.145,0.5379999999999999,0.455,0.025,0.1,2019
Botswana,3.4788999560000002,0.997548997,0.7791217570000001,0.494101733,0.50908941,0.033407487,0.101786368,2020
Brazil,6.983,0.98124,1.2328700000000001,0.69702,0.49049,0.14574,0.17521,2015
Brazil,6.952000000000001,1.08754,1.03938,0.61415,0.40425,0.15775999999999998,0.14165999999999998,2016
Brazil,6.6350002288818395,1.1073532104492199,1.43130600452423,0.6165523529052729,0.437453746795654,0.16234989464282998,0.11109276115894301,2017
Brazil,6.419,0.986,1.474,0.675,0.493,0.11,0.08800000000000001,2018
Brazil,6.3,1.004,1.439,0.802,0.39,0.099,0.086,2019
Brazil,6.375599861,0.952679873,0.896723807,0.766119063,0.483292729,0.131674588,0.106518604,2020
Bulgaria,4.218,1.01216,1.10614,0.76649,0.30587,0.11921,0.00872,2015
Bulgaria,4.217,1.11306,0.92542,0.67806,0.21219000000000002,0.12793,0.00615,2016
Bulgaria,4.71400022506714,1.1614590883255,1.4343794584274299,0.708217680454254,0.28923171758651695,0.113177694380283,0.0110515309497714,2017
Bulgaria,4.933,1.054,1.515,0.7120000000000001,0.359,0.064,0.009000000000000001,2018
Bulgaria,5.011,1.092,1.5130000000000001,0.815,0.311,0.081,0.004,2019
Bulgaria,5.101500034,1.046554685,0.937840343,0.7777768970000001,0.417820066,0.10383371300000001,0.0,2020
Burkina Faso,3.5869999999999997,0.25811999999999996,0.85188,0.27125,0.39493,0.21746999999999997,0.12832000000000002,2015
Burkina Faso,3.739,0.31995,0.63054,0.21297,0.3337,0.24353000000000002,0.12533,2016
Burkina Faso,4.03200006484985,0.35022771358490007,1.04328000545502,0.21584425866603896,0.32436785101890603,0.250864684581757,0.12032810598611803,2017
Burkina Faso,4.4239999999999995,0.314,1.097,0.254,0.312,0.175,0.128,2018
Burkina Faso,4.587,0.331,1.056,0.38,0.255,0.177,0.113,2019
Burkina Faso,4.768700123,0.302467644,0.7129436140000001,0.312833875,0.322398156,0.18639060899999998,0.126408055,2020
Burundi,2.905,0.0153,0.41586999999999996,0.22396,0.1185,0.19727,0.10062,2015
Burundi,2.905,0.06831,0.23442,0.15747,0.0432,0.2029,0.09419,2016
Burundi,2.90499997138977,0.09162256866693501,0.629793584346771,0.151610791683197,0.0599007532000542,0.20443518459796897,0.0841479450464249,2017
Burundi,2.905,0.091,0.627,0.145,0.065,0.149,0.076,2018
Burundi,3.775,0.046,0.447,0.38,0.22,0.17600000000000002,0.18,2019
Burundi,3.775300026,0.0,0.490325719,0.295212835,0.275399059,0.18740178600000001,0.212186828,2020
Cambodia,3.819,0.46038,0.62736,0.61114,0.66246,0.40359,0.07247,2015
Cambodia,3.907,0.55604,0.5375,0.42494,0.5885199999999999,0.40339,0.08092,2016
Cambodia,4.1680002212524405,0.6017650961875921,1.00623834133148,0.429783403873444,0.633375823497772,0.385922968387604,0.0681059509515762,2017
Cambodia,4.433,0.5489999999999999,1.088,0.457,0.696,0.256,0.065,2018
Cambodia,4.7,0.574,1.122,0.637,0.609,0.23199999999999998,0.062,2019
Cambodia,4.8484001160000005,0.544634938,0.773080647,0.587904334,0.674940348,0.233342081,0.072837502,2020
Cameroon,4.252,0.4225,0.8876700000000001,0.23401999999999998,0.49309,0.20618000000000003,0.05786,2015
Cameroon,4.513,0.5249699999999999,0.62542,0.12697999999999998,0.42736,0.2268,0.06126,2016
Cameroon,4.69500017166138,0.564305365085602,0.946018218994141,0.132892116904259,0.430388748645782,0.23629845678806302,0.0513066314160824,2017
Cameroon,4.975,0.535,0.8909999999999999,0.182,0.45399999999999996,0.183,0.043,2018
